COMMENTS,STARS,English Comments,Roberta Model Polarity,Roberta Model Status,Roberta Result
hiç beğenmedim w tuşu hafiften içeride kalmış oyun oynarken arada hareket etmiyor oyun,1,"i didn't like it at all, the w key is slightly stuck inside, it doesn't move occasionally while playing the game",[0.96799767 0.02948448 0.00251773],Negative,True
bir yıl önce almıştık bozuldu,4,bought it a year ago,[0.10132902 0.82096887 0.07770214],Neutral,False
Klavye bozuk geldi tuşları basmıyor,1,"the keyboard is broken, does not press the keys",[0.9412678  0.05464156 0.0040905 ],Negative,True
Fiyatına göre gayet güzel bir ürün. Şimdilik hiçbir sorun yok. Memnunuz,5,it's a pretty good product for its price. no problems for now. we are satisfied,[0.00172743 0.01173073 0.98654187],Positive,True
kullanisli ve rahat. tuşlar rahat cikarilip takiliyo ve bi provlem gormedim ama mouse biraz kalitesiz hissettiriyor,4,"useful and comfortable. the keys are easily removed and stuck and i didn't see a provlem, but the mouse feels a bit shoddy",[0.86513704 0.12096589 0.0138971 ],Negative,False
kesinlikle tavsiye etmem 1 hafta sonra bozuldu ve ara ara takılma yapıyor,1,"i definitely do not recommend it, it broke after 1 week and it hangs from time to time",[0.9611146  0.03532495 0.00356052],Negative,True
esc tuşu ve arka kalvye kaldırma tırnakları kırık geldi .,1,esc key and rear keyboard lift tabs came broken.,[0.6526311  0.33663198 0.01073688],Non Positive,True
Esc tuşu çatlak geldi ama 10 numara 10 yıldız,5,esc key came cracked but number 10 is 10 stars,[0.17106043 0.7349517  0.09398792],Non Negative,True
Klavye iyi ama maus çalışmıyor donuyor,1,keyboard is good but mouse is not working,[0.5342984  0.38677663 0.07892498],Non Positive,True
klavye iyi çıktı ancak fare çok erken bozuldu,4,keyboard worked fine but mouse broke too soon,[0.48588392 0.43637264 0.07774342],Non Positive,False
çok güzel tertemiz ürün,5,very nice clean product,[0.0041856  0.02748042 0.9683341 ],Positive,True
mousu sıkıntılı düz zemminde dengede durmuyo,4,mouse doesn't balance on troubled flat ground,[0.6128692  0.36886755 0.0182633 ],Non Positive,False
Öncelikle kargo hızlı geldi fakat iki üründe bozuk çıktı,2,"first of all, the shipping came fast, but both products were damaged.",[0.8600181  0.12906066 0.01092133],Negative,True
ürün sıkıntısız geldi ve hic bir sorunu yok,5,the product came without any problems and there is no problem.,[0.012662   0.17495616 0.81238186],Positive,True
ürün gayet güzel ve hafif şimdilik bir sıkıntı çıkmadı,5,"the product is very nice and light, there is no problem for now",[0.00194653 0.01807591 0.9799776 ],Positive,True
Hiç bir sıkıntısı yok renklerini bile çok güzel veriyor .,5,"there is no problem, it even gives the colors very well.",[0.00444199 0.07193826 0.9236197 ],Positive,True
biraz kullanımdan sonra ledleri açınca ara sıra bağlantı kopuyor başka bir sıkıntısı yok,3,"after a little use, when i turn on the leds, the connection is disconnected from time to time, there is no other problem.",[0.2047656  0.68855256 0.10668179],Non Positive,True
hiç kaliteli değil kullandık 15 günde bozuldu,1,not good quality at all we used it broke in 15 days,[0.966989   0.03036208 0.00264885],Negative,True
Klavye Güzel Ama Mausu 5 gün bozuldu,4,keyboard is good but mouse is broken for 5 days,[0.54356605 0.35950798 0.09692604],Non Positive,False
klavye güzel fakat mousenin sol tiki bozuldu 5 ay sonra,2,the keyboard is nice but the left mouse click is broken after 5 months,[0.53071046 0.35935938 0.10993015],Non Positive,True
klavyesi fena değil mekanik hissi veriyor ama rgb aydınlatması çok dandik gece acayip göz alıyor ve klavyedeki yazıları aydınlatmıyor bile mause desen sol tıkı basmıyor bile hayatımda gördüğüm en kötü mauselardan bitanesi diyebilirim ama klavye ye bakıcak olursak rgb ışıkları harici güzel,1,"the keyboard is not bad, it gives a mechanical feel, but the rgb lighting is very cheesy at night and it does not illuminate the writings on the keyboard, even the mouse pattern does not even press the left click, i can say that it is one of the worst mice i have ever seen in my life, but if we look at the keyboard, the rgb lights are beautiful outside.",[0.56449014 0.29901424 0.1364958 ],Non Positive,True
klavyenin isiklari 1 hafta sonra yanmamaya basladi mouse da isik var sadece,3,"the lights on the keyboard stopped working after 1 week, there is only light on the mouse",[0.831917   0.15833125 0.00975187],Negative,True
Ürün fiyatına göre gayet iyi kargomuzda çok hızlı geldi ama klavyenin rengi sabit onun değişmesini isterdim 1 puanı burdan kırdım :),4,"the product is very good according to the price, it came very fast in our cargo, but the color of the keyboard is fixed, i would like it to be changed, i broke 1 point from here :)",[0.0078557  0.04048483 0.9516595 ],Positive,True
klavye yamuktu düz durmuyodu sağ en üstte nokta ışıklar icine girmişti,1,"the keyboard was crooked, it wasn't straight, the dot at the top right was inside the lights",[0.6840433  0.29659674 0.01935993],Non Positive,True
ikiside güzel ama bazen tuşlar basmıyo tek sıkıntısı o ama çok güzel,4,"they are both beautiful but sometimes the keys don't press, the only problem is that but it's very beautiful",[0.05258439 0.14735357 0.80006206],Positive,True
Ürünü 1 haftadır kullanıyorum bı sıkıntı yaşamadım sadece renkler az ve malzeme fazla kaliteli değil. Yani fiyatına göre gayet normal.,4,"i've been using the product for 1 week, i haven't had any problems, just the colors are less and the material is not of high quality. so it's pretty normal for the price.",[0.08222501 0.29340917 0.62436587],Non Negative,True
klavyenin ışıkları yanmıyo çoçuklar açarken kutusuna zarar verdigi için iade edemedim elimde kaldı,1,"the lights of the keyboard are not working, i could not return it because the children damaged the box when opening it.",[0.9632537  0.03454997 0.00219635],Negative,True
klavye tuşlari çok takılıyor. kaliteli degil maalesef,1,keyboard keys get stuck a lot. unfortunately not good quality,[0.9530512  0.04273987 0.00420873],Negative,True
Ürünümüz geldi ama klavye de üstteki tuslardan birinin kenarı kırık geldi şimdilik bır sıkıntı yok,4,"our product has arrived, but the edge of one of the keys on the keyboard is broken, there is no problem for now.",[0.20363171 0.6087887  0.18757947],Non Positive,False
9 yaşındaki oğlum için ideal paketleme iyiydi fakat klavyenin bir tuşu düşmüştü neyseki takabildik parasına değermi derseniz tartışılır,3,"ideal packaging for my 9-year-old son was good, but one key of the keyboard fell off, luckily we were able to install it, if you say it is worth the money, it is debatable",[0.1310825  0.34359545 0.5253221 ],Non Negative,True
biz çok beğendik birebir aynısı kullanıyoruz sıkıntı yok şimdilik,5,"we like it very much, we use exactly the same, no problem for now",[0.00315846 0.05267913 0.9441623 ],Positive,True
Kaliteli geldi hala kullanıyorum bir sıkıntı olmadı teşekkür ederim,5,"it came in good quality, i'm still using it, it's not a problem, thank you",[0.00331869 0.03002924 0.966652  ],Positive,True
Çok kötü iade ettim,1,too bad i returned it,[0.6543099  0.30094978 0.0447403 ],Non Positive,True
Ürün çok kötü ürün geldiği gün bozuldu aldığıma pişman oldum,5,"the product is very bad, the product broke the day it arrived, i regret that i bought it",[0.98241836 0.01519074 0.00239089],Negative,False
Cok kullanissiz.hemen kirildi,1,very useless. broke right away,[0.9439345  0.05018724 0.0058781 ],Negative,True
Beklentimi fazlasıyla karşıladı. Özellikle karanlıkta ürün çok daha güzel gözüküyor.,5,"it more than met my expectation. especially in the dark, the product looks much better.",[0.00353923 0.02338913 0.9730717 ],Positive,True
ürün beklediğimden de iyiydi tek problem klavye ışıklı sanıyordum ama onu bir türlü ayarlayamadım,5,"the product was better than i expected, the only problem was that i thought the keyboard was backlit, but i couldn't adjust it.",[0.08322123 0.2013464  0.7154322 ],Non Negative,True
1 yıldızı bile haketmiyor ürün hem elime geç geldi hemde takıyorum çalışmıyor klavye mause de sıkıntı yok ama klavye bozuk göndermişsiniz,1,"it doesn't even deserve 1 star, the product arrived late and i'm wearing it, it doesn't work, it doesn't work, there is no problem with the keyboard mouse, but the keyboard is broken, you sent it",[0.9522326  0.04308292 0.00468444],Negative,True
1 ay sonra klavyenin tuşları basmamaya başladı ve bazı tuşlar çalışmıyor alırken bir daha düşünün,1,"after 1 month, the keys of the keyboard stopped pressing and some keys are not working, think again when buying",[0.8783922  0.1153433  0.00626469],Negative,True
2 aydır kullanıyorum herhangi bir sıkıntı yok tavsiye ederim,5,"i've been using it for 2 months, no problems",[0.01216937 0.15063545 0.8371951 ],Positive,True
Ürün kırık ve yamuk geldi içinden faturası bile çıkmadı ilk defa trendyoldan bir satıcıdan memnun kalmadım çok kotu tavsiye etmem,1,"the product came broken and crooked, it didn't even have an invoice, it's the first time i was not satisfied with a seller from trendyol, i do not recommend the jeans",[0.9729796  0.02428214 0.00273828],Negative,True
Klavyesi Guzel ve Kullanışlı ama mouse çok kötü mesela tıkladığın zaman takılı kalıyor basılı tutuyormuşsun gibi oluyor bu yüzden 2 puan kırdım,3,"the keyboard is nice and useful, but the mouse is very bad, for example, when you click, it gets stuck, it feels like you are holding it down, so i broke 2 points",[0.85073036 0.12751707 0.02175262],Negative,True
Sakın almayın. Ürün kusurlu. Klavyenin ledleri yok. Berbat bir ürün. Mesaj gönderiyorsun ilgilenmiyorlar,1,"don't buy it. the product is defective. the keyboard has no leds. it's a decent product. you're sending a message, they don't care",[0.8512744  0.12827373 0.02045185],Negative,True
Dün almıştık çoğu tuşu çalışmıyor berbat bir ürün,1,"we bought it yesterday, most keys don't work, terrible product",[0.96370625 0.03286381 0.00342979],Negative,True
Plastik oyuncaklar gibiydi. İade ettim,1,it was like plastic toys. i returned,[0.67184824 0.29377797 0.03437379],Non Positive,True
urun elimize gectiginde tusunun birinin ucu kirilmisti.urun cok kalitesiz ve aksam karanlikta tuslari kesinlikli gozukmuyor mouse zaten oyuncak gb.cocugunuzun eline verin oynasin.cok kalitesiz kesinlikle almayin.,5,"when we received the product, one of the keys was broken. the product is very poor quality and the keys do not seem to be precise in the evening dark. the mouse is already gb toy. give it to your child to play. it is very poor quality, definitely do not buy it.",[0.97410065 0.02324449 0.00265477],Negative,False
kalitesiz ayrıca PolyGold markalı gelmedi başka bi marka geldi iade ediyorum.,1,"poor quality, also polygold brand did not come, another brand came, i am returning it.",[0.76918197 0.21476682 0.01605114],Non Positive,True
ürün gerçekten güzel önceden çok ağır mouse kullanmadıysanız bir sorun yok benim bundan önceki mousem çok ağır olduğu için bana hafif geldi iade etmek zorunda kaldım onun dışında satıcıda veya kargoda hiç bir sorun yaşamazsınız güvenebilirsiniz,5,"the product is really nice, if you haven't used a very heavy mouse before, there is no problem",[0.00432643 0.02259496 0.97307867],Positive,True
Eksik olmasınlar hızlı gönderildi fakat mause çıkık bir vaziyette geldi sol ve sağ click basmıyor malesef iade edeceğim,1,"they are not missing, it was sent quickly, but the mouse came in a dislocated state, left and right click does not press, unfortunately, i will return it",[0.4226515  0.49102974 0.08631885],Non Positive,True
kırık geldi iade ettim görüntü aynı güzel ama defolu çıktı,1,"it came broken, i returned it, the image is the same, but it was defective.",[0.759929   0.22616893 0.01390197],Non Positive,True
yanlis urun gönderiyorlar iadeye gönderdim reddedildi gönderdiğim ürün de geri gelmedi asla tavsiye etmem,1,"they are sending the wrong product, i sent it for a refund, it was refused, the product i sent did not come back, i would never recommend",[0.97269756 0.02484147 0.00246086],Negative,True
Mouse çıkmadı iade,3,mouse did not come out,[0.5346668  0.4474354  0.01789781],Non Positive,True
mouse 2 ci gün bozuldu klavyede bir sıkıntı yok kutusunu attığım için iade edemiyorum tamiride mümkün olmuyor kısacası çöp,1,"the mouse broke down on the 2nd day, there is no problem with the keyboard, i can't return it because i threw the box away, it's not possible to repair it, in short, it's garbage",[0.96423286 0.03142184 0.00434523],Negative,True
9 yaşındaki kızım için sipariş ettiğim bir ürün bu fiyata ancak bu kadar oyuncak gibi bişey. Mouse taktığımızda siz sağa yöneliyorsun mouse olduğu yerden yavaş yavaş titreyerek hareket ediyor iadesi ile uğraşmak istemedim oynuyor kızım kendince üzerine biraz daha verip başka bir ürün alın bence,2,"a product i ordered for my 9-year-old daughter is at this price, but it's something like a toy. when you wear a mouse, you turn to the right, the mouse moves slowly from where it is, i didn't want to deal with the return, my daughter is playing, i think, give a little more on it and buy another product.",[0.48649862 0.44355392 0.06994747],Non Positive,True
"Klavye kalitesi çok kötü, basınca basık kalıyor ve mousun kalitesi de çok kötü zorla basılıyor iade de yapamiyorum(cevap vermiyor) bence almayınız!!",1,"the quality of the keyboard is very bad, it stays pressed down and the quality of the mouse is very bad, it is pressed forcibly, i can't return it (it doesn't respond) i think you should not buy it!!",[0.9792777  0.01838051 0.0023418 ],Negative,True
Klavye güzel hoş ama mouse çalışmıyor yine de iade etmeyeceğim,1,"the keyboard is nice, but the mouse does not work, i will not return it anyway",[0.74059534 0.21930313 0.04010148],Non Positive,True
İlk gelen arızalıydı. Değişim yaptık yeni gelende problemliydi. İptal edip iade ettim,1,"the first one was faulty. we made a change, it was problematic in the newcomer. i canceled and refunded",[0.7676525  0.21758024 0.01476738],Non Positive,True
ürün hızlı geldi ancak klavyenin arkası çatlamıştı bu sebeple iade edeceğim,1,"the product came quickly, but the back of the keyboard was cracked so i will return it.",[0.27371025 0.5094032  0.21688652],Cannot Find,False
ışık açma tuşunu belirtmeleri çok iyi olacak.nerdeyse iade edecektim.,5,it would be great if they specified the light switch button. i would almost return it.,[0.01053486 0.10361169 0.8858535 ],Positive,True
"Arkadaşlar ,ürün açıkçası fiyata göre beklentinin altında. Ürün elime ulaştı ve aydınlatması yoktu. Mouse ye gelirsek dpı ayarlanabilir yazıyor fakat oda yoktu xdndlsnskskks. Özetle buna vereceğin parayı biraz daha biriktirip çok daha iyisini alabilirsiniz. Ayrıca iade ile uğraşmak istemediğimden dolayı iade etmiyorum.",2,"guys, the product is obviously below expectations for the price. the product arrived and it was not illuminated. as for the mouse, it says dpi adjustable, but there was no room xdndlsnskskks. in summary, you can save a little more money and get a much better one. also, i don't want to return it because i don't want to deal with returns.",[0.85626554 0.12571838 0.01801603],Negative,True
kargo ürün ü kırmış firma çok iyi hemen gönderdi sonrasındada iade verdik,5,"the cargo product was broken, the company sent it very well, and then we returned it.",[0.3667163  0.48303533 0.1502483 ],Non Positive,False
Ürün çok kötü ağustos ayında aldım ama tuşların bazıları içe göçtü ve çalışmıyor iade etmek istiyorum kimse ilgilenmiyor..,1,"the product is very bad, i bought it in august, but some of the keys have collapsed and are not working, i want to return it, no one is interested..",[0.96922094 0.02809981 0.00267912],Negative,True
urunden hic memnun kalmadimm iade etmek istiyorum bir ay içinde bir anda bozuldu,1,i am not at all satisfied with the product. i want to return it. it broke within a month.,[0.9718862  0.02535689 0.0027568 ],Negative,True
Paketleme güzel. Ürün sağlam. Kardeşime hediye aldım çok beğendi ışıkları göz dolduruyor.,5,"packaging is nice. the product is solid. i bought a gift for my brother, he liked it very much, the lights are eye-catching.",[0.00123084 0.00897427 0.98979473],Positive,True
Fiyatını hakeden bi ürün yenice geldi çok şık duruyor,5,"a product that deserves its price has just arrived, looks very stylish",[0.00150334 0.01671063 0.98178613],Positive,True
Ürün hızlı geldi 2 iş günü içerisinde elimdeydi. Fiyatına göre gayet güzel kaliteli ve kullanışlı bir ürün tavsiye ederim. Çok iyi paketleme var.,5,"the product came quickly, i had it in 2 business days. it is a very good quality and useful product for the price, i recommend it. there is very good packaging.",[0.00197392 0.01457557 0.9834506 ],Positive,True
"paketleme güzeldi,kargo zamanında geldi. oğlum çok severek kullanıyor. teşekkürler",5,"packaging was good, shipping arrived on time. my son loves using it. thanks",[0.0019258  0.00846084 0.9896132 ],Positive,True
oğlum ürünü cok begendi paketleme çok özenli,5,my son liked the product very much. the packaging is very careful.,[0.00410038 0.04010641 0.9557932 ],Positive,True
klavye çok iyi ama fare biraz dandik 5 katlı ambalaj sarmışlar çok iyi,5,the keyboard is very good but the mouse is a bit lousy they wrapped it in 5 ply packaging very good,[0.05109731 0.11542348 0.83347917],Positive,True
paketleme mükemmel mauseye bayıldım klavye ışıkları çok güzel tavsiye ederim,5,packaging is perfect i love the mouse keyboard lights are very nice i recommend,[0.00220123 0.00669102 0.9911077 ],Positive,True
klavyesi için almıştım dün geldi kargom ve gerçekten kendi laptop tuşlarıma dokunduğumda ben nasıl laptopta yıllarca yazı yazmışım diyorum o kadar iyi bir klavye ki yalnız mekanik klavye gibi tık tık tık sesi var fakat asla rahatsız etmiyo son olarak da mouse biraz kötü,5,"i bought it for the keyboard, my cargo arrived yesterday and when i really touch my own laptop keys, i say how i have written on the laptop for years, it is such a good keyboard that it has a clicking sound just like a mechanical keyboard, but it never bothers me, finally the mouse is a bit bad",[0.16104524 0.31571752 0.5232373 ],Non Negative,True
ürün çok iyi 2 gün içinde elime geldi ışıklandıtılması süper,5,"the product is very good, i received it in 2 days, the lighting is super",[0.00168461 0.00887049 0.9894451 ],Positive,True
POLYGOLD Satıcı olarak ve Kargo olarak paketleme ve ulaşımı gayet iyi. Klavye ve mouse sorunsuz. Çok şık ve görseldeki gibi birebir. Ürünü alacaklar için tek tavsiyem hiç tereddütsüz alabilirsiniz.,5,polygold packaging and transportation as seller and cargo are very good. keyboard and mouse are fine. very stylish and exactly as pictured. my only advice to those who will buy the product is that you can buy it without hesitation.,[0.00340906 0.02736724 0.9692238 ],Positive,True
hızlı ve hasarsız bir şekilde geldi. paketlenmesi kalın ve gayet iyiydi. Bende ilk başta merak ediyordum fakat ürün gayet iyi hiç merak etmenize gerek yok öneririm.,5,"arrived quickly and undamaged. the packaging was thick and fine. i was wondering at first, but the product is very good, you don't have to worry, i recommend it.",[0.00204791 0.01320925 0.984743  ],Positive,True
Oğluşum çok istedi başta alırken çok terettüt ettim ama geldiğinde kullanmaya başladı gerçekten çok güzel biz bayıldık renkleri insanı cezbediyor sadece gece lambası olarak kullanmayı istiyorum oğlum izin verse😁😂🤣😂🤣🤣firmaya teşekkür ederiz bu arada paketlenmesi de gayet iyiyd.Sadece biz koronodan dolayı dezenfektanla silmekten mahvolduk😂🤣😂,5,"my son wanted it so much, i hesitated a lot when i bought it, but when he came, he started using it. it's really beautiful, we love the colors. i just want to use it as a night light. we're done deleting it😂😂😂",[0.00881761 0.03362743 0.95755494],Positive,True
Ürün elime ulaştı gayet güzel bir şekilde paketlenmiş ve içinden kırık çıkmadı Firma sahibine Teşekkür ediyorum.,5,"the product arrived, it was packaged very well and it was not broken. thank you to the owner of the company.",[0.00267742 0.02648817 0.9708344 ],Positive,True
çok hızlı kargo beklenmedik şekilde.paketleme güzel.bu fiyata gayet başarılı bir ürün . tşkler,5,very fast shipping unexpectedly. the packaging is nice. it is a very successful product at this price. thanks,[0.00173869 0.01269687 0.9855646 ],Positive,True
ürün sağlam geldi bu paraya değmez,2,"product arrived intact, not worth the money",[0.5562205  0.37965888 0.06412059],Non Positive,True
helal olsun kazandığınız para ürün 10 numara teslimat on numara sağlam bir şekilde 3 .4 gün içerisinde elimize ulaştı,5,"good luck, the money you earned, the product number 10, delivery number ten, arrived in 3.4 days in good condition.",[0.00168799 0.02600526 0.97230685],Positive,True
bu fıyata bu kalıte mukemmel paketleme hızlı kargo cokk tskesrm emegınıze,5,"for this price, this quality, excellent packaging, fast shipping, thank you very much",[0.00227555 0.01949633 0.97822803],Positive,True
Harika ürün 24 saat geçmeden elime ulaştı kargo çok hızlıydı özenle paketlenmişti ışıkları çok güzel rengarenk. teşekkürler 😇,5,great product arrived in less than 24 hours. the shipping was very fast. it was packaged with care. the lights are very beautiful and colorful. thanks 😇,[0.00148094 0.00877997 0.989739  ],Positive,True
Ürünü henüz kullanmadım fakat görünüş ve paketleme olarak çok güzel gözüküyor .,5,"i have not used the product yet, but it looks very nice in appearance and packaging.",[0.00438027 0.02370082 0.9719189 ],Positive,True
Ürün çok hızlı geldi gayet iyi paketlenmişti ve çalışır vaziyettee teşekkürlerr...,5,"the product came very quickly, it was well packaged and in working condition, thank you...",[0.0014751  0.01841577 0.9801092 ],Positive,True
Hızlı kargo güzel paketleme,5,fast shipping nice packaging,[0.00801783 0.11731903 0.8746632 ],Positive,True
Çabuk kargo sorunsuz geldi,5,fast shipping came with no problems,[0.0154664  0.25057644 0.73395705],Non Negative,True
Parasına göre gayet iyi paketlemesi de güzeldi sorunsuz bu fiyata alınabilecek iyi bir takım,5,"it was very well packaged for its money, it was also nice, it's a good team that can be bought at this price without any problems.",[0.00191438 0.01840118 0.97968453],Positive,True
"Ürünün rgbsi iyi çalışıyor, güzel kutulamışlar fakat mouse 3 gram klavye plastikten yapılmış zaten",4,"the rgb of the product works well, they are well boxed, but the mouse is 3 grams, the keyboard is already made of plastic",[0.04323957 0.32094777 0.6358127 ],Non Negative,True
kırık geldi.,1,it came broken.,[0.5352804  0.41907898 0.04564065],Non Positive,True
ürün kırık asla alınmayacak bir ürün her yeri plastik sakin burdan almayınız ve en berbat kargo şirketine veriyorlar,1,"the product is broken, it will never be bought, the whole place is plastic, don't buy it from here and they give it to the worst shipping company",[0.98194635 0.01601319 0.00204035],Negative,True
ürün elime ulaştı gerçekten çok güzel,5,"the product has arrived, it's really nice",[0.00124975 0.00989386 0.9888564 ],Positive,True
çok güzel ve çok hızlı geldi siparis verdikten sonraki gun elime geçti teşekkür ederim,5,"it is very beautiful and it came very quickly, i received it the day after i ordered it, thank you",[0.00171919 0.00739461 0.9908861 ],Positive,True
Ürün göründüğü gibi geldi paketlemesi güzeldi ve oldukça hızlı elime ulaştı,5,"the product came as seen, the packaging was good and it arrived very quickly.",[0.00166051 0.02117788 0.97716165],Positive,True
Çok güzel tam istediğim gibi biraz geç geldi ama benim için sorun değil tavsiye ederim,5,"it's very nice, just as i wanted, it came a little late but it's fine for me, i recommend it",[0.00234355 0.01129988 0.9863567 ],Positive,True
"Böyle bir rezillik görmedim,10 gün oldu sipariş vereli kargo nerde bilmiyorum.İptalde edemiyorum.Bunun gibi satıcılar trendyolun kalitesini düşürüyor bence.",1,i've never seen such a disgrace. it's been 10 days since i ordered. i don't know where the cargo is. i can't cancel it. i think sellers like this reduce the quality of trendyol.,[0.9612102  0.03543077 0.0033591 ],Negative,True
Ürün geldi ama hayal kırıklığı çok dikkat edin bu klavye mouse kablolu ben de sevinmiştim ne güzel diye ama maalesef kablolu çıktı.,3,"the product arrived, but be very disappointed, note that this keyboard and mouse are wired, i was happy because it was nice, but unfortunately it turned out to be wired.",[0.70426035 0.23428708 0.06145253],Non Positive,True
ürün gayet güzel orta düzey için baya iyi biraz elime geç geldi fakat performansı güzel,4,"the product is very good, it is very good for the medium level, it came to me a little late, but the performance is good",[0.00215844 0.01478814 0.9830535 ],Positive,True
gününden önce geldi tebrikler,5,arrived before the day congratulations,[0.00322531 0.09474887 0.90202576],Positive,True
Ürün çok iyi fakat 2 gün gecikmesi hoşuma gitmedi o yüzden 3 yıldız,3,the product is very good but i don't like the 2 days delay so 3 stars,[0.17734134 0.3058114  0.5168473 ],Non Negative,True
Fiyatına göre gerçekten çok güzel Ve erken geldi ürün mükemmel,4,"it's really nice for the price and it came early, the product is perfect",[0.00188075 0.00681902 0.9913005 ],Positive,True
Ürünü 2 kere sipariş ettim ilki 5 günde ve kırık geldi. Trendyol yardımcı olup değişimi okeyledi 2. siparişim çok hızlı ve iyi paketlenmişti. Satıcıyı seçerken dikkat edin. Teknolojigelsin satıcısını öneriyorum. Onun dışında ürün harika gönül rahatlığıyla sipariş verebilirsiniz. Tam f/p ürünü,5,"i ordered the product 2 times, the first in 5 days and it came broken. trendyol helped and confirmed the change. my 2nd order was very fast and well packaged. be careful when choosing the seller. i recommend the seller of teknolojigelsin. apart from that, you can order the product with great peace of mind. full f/p product",[0.02820681 0.16944343 0.8023497 ],Positive,True
Ürün elime ulaştı kötü kokuyor ve dengeli değil iade ediyorum almanızi önermem,2,"the product has arrived, it smells bad and is not balanced, i am returning it, i do not recommend buying",[0.98024    0.01729375 0.00246604],Negative,True
Üŕün çok güzel cuma aķşamı sipariş verdik pazartesi sabah geldi hiç bir sıkintı yok,5,"it's very nice, we ordered on friday night, it came on monday morning, no problem.",[0.00182733 0.01365782 0.9845147 ],Positive,True
ürün mük,5,product possible,[0.11594068 0.6087652  0.27529413],Non Negative,True
mause ışığı yaniyo ama klavye bir gün yandı ikinci gün ışığı bozuldu bı anlamı kalmadı ışıklı olmasının o yüzden tavsiye etmiyorum üç yıldız verdim o da hızlı kargo için o da.,3,"the mouse light is on, but the keyboard burned out one day, the second daylight was broken, it doesn't mean that it is illuminated, so i do not recommend it, i gave it three stars for fast shipping, too.",[0.87356806 0.11333083 0.01310105],Negative,True
"ürün yaklaşık 3gün içinde geldi, klavye fiyatına göre güzel çok sağlam sayılmaz mouse çok güzel alınabilir ancak klavye ömürlük değil biraz gösterişli o kadar mouse mükemmel.",3,"the product arrived in about 3 days, the keyboard is nice for the price, it's not very solid, the mouse is very nice, but the keyboard is not for life, it's a bit flashy, so the mouse is perfect.",[0.01304684 0.05813308 0.9288202 ],Positive,True
"Ürün göründüğü gibi. Kargo güzel geldi, tek sıkıntı kablosu kısa. Mouse kablosu masaya yetişmedi keşke 4-5 cm uzun olsaymış",5,"the product is as it appears. the shipment came well, the only problem is that the cable is short. mouse cable did not reach the table, i wish it was 4-5 cm long",[0.30516893 0.47486454 0.21996644],Cannot Find,False
Erkek kardeşim için aldık gayet güzel ve uygun fiyatlı çalışmayla ilgili hiçbir problem yaşamadık sadece ilk başta ışıklar kapalıydı bozuk sandık fakat klavye üzerindeki bir tuştan açılıp kapanabiliyormuş.,5,"we bought it for my brother, it's nice and affordable, we had no problems with the work, only the lights were off at first, we thought it was broken, but it could be turned on and off with a key on the keyboard.",[0.00943982 0.07049304 0.9200671 ],Positive,True
Kalitesiz bir ürün ürün yamuk geldi kavis vardı masaya koyunca düzgün durmuyor 5 tane Led koymuşlar aydınlatması kötü mause hagig hafif ama güzel kargo çok hızlıydı ama ürün güzel değil almayın bence fiyatı ucuz olabilir ama değmez almayın,2,"a poor quality product, the product came crooked, it had a curve, it does not stand properly when i put it on the table, they put 5 leds, the lighting is bad, the mause hagig is light, but nice, the shipping was very fast, but the product is not good, do not buy, i think the price may be cheap, but it is not worth it, do not buy",[0.9457723  0.04741064 0.00681715],Negative,True
Bu nasıl bi hayal kırıklığı Allah aşkına ya kargo firması 5 para etmez satıcının bunu bu şekilde göndereceğine ihtimal vermiyorum çünkü klayve ortandan ikiye bölünmüş şekilde geldi paketi açınca kızım çok üzüldü inşallah iadeyi güzel bi şekilde yaparsınız o kadar alışveriş yaptım ama hiç bu kadar hayal kırıklığı yaşamadım,1,"what a disappointment, for god's sake, i don't think the courier company will send it this way, because the keyboard came split in two from the middle, my daughter was very upset when i opened the package, i hope you can return it in a nice way.",[0.926031   0.06350867 0.01046028],Negative,True
Fiyatına göre iş görür bir ürün fazla bir şey beklemeyin bileğin altına ekstra plastik olsa daha iyi olurmuş.,3,"it's a product that works for its price, don't expect much, it would be better if there was extra plastic under the wrist.",[0.11068236 0.43496782 0.45434976],Non Negative,True
Ürün beklediğimden iyi geldi. Klavye rgb değil ve kayıyor. Bunun haricinde hiçbir problem yok tam fiyat performans ürünü. Yanında mouse pad hediye göndermişler çok ince bir hareket. Hızlı teslimatta cabası teşekkürler iyi hizmet için.,5,"the product came better than i expected. the keyboard is not rgb and it slips. other than that, there is no problem, it is a full price performance product. they sent a mouse pad as a gift, which is a very subtle move. thanks for the fast delivery and good service.",[0.00714845 0.03694225 0.95590943],Positive,True
çok güzel ama içinde maus pad olsaydı daha güzel olursuşim di ayreten maus pad almam lazım,5,very nice but it would be better if it had a maus pad in it now i need to buy a maus pad,[0.13607655 0.36568353 0.49823982],Non Negative,True
sipariş ettik ertesi gün elimizdeydi oğlum için aldık gayet memnunuz boşa yüksek fiyat ödemeye gerek yok,5,"we ordered it, we had it the next day, we bought it for my son, we are very satisfied, no need to pay a high price for nothing",[0.00412518 0.04220043 0.9536745 ],Positive,True
ürün hem güzel hem de çok kısa sürede geldi fiyatı da gayet uygun bir ürün.,5,the product is both beautiful and arrived in a very short time. the price is also a very affordable product.,[0.00177069 0.01403142 0.98419785],Positive,True
